HomePrice,CensusTract
314580,12011110301
286246,12095017200
303508,12099004813
290000,12086000134
316701,12086010710
316206,12086005805
270710,12019031101
283629,12101031601
268430,12011042801
303071,12015030506
254000,12115002509
278413,12071001206
314900,12033002607
266985,12086005004
240000,12005001502
285780,12095017401
276325,12099005921
265455,12086001103
300838,12099007842
289698,12061050812
276167,12057011413
286127,12071010420
264095,12086001702
177000,12017451300
282439,12095018400
514900,12086018400
300000,12071010420
263107,12081000811
266000,12115001203
296640,12083002100
296323,12099007740
261970,12103021900
300957,12011050306
303831,12061050602
276500,12053041103
302543,12109020810
302147,12105012413
195000,12127090305
277778,12117022007
291392,12081001908
310000,12031011904
297395,12086012104
273947,12073002514
254150,12035060218
55000,12091021101
262806,12099005952
294524,12031013525
267493,12009060105
260642,12086002201
281200,12009060202
256647,12115001402
249468,12086004207
273663,12097041502
248540,12033001300
260643,12053040909
430000,12011060206
150000,12101031205
271718,12069031309
348000,12021011114
244800,12086000905
276384,12086001003
261300,12095012303
276287,12009064500
277941,12086011009
299900,12086001801
224900,12073002304
280868,12031014425
179900,12037970200
268365,12095016804
249187,12057002702
279005,12111382015
258490,12073000906
240737,12086005002
276948,12105012802
268470,12103028200
168000,12009071343
238680,12086000127
238595,12005002500
319060,12011110345
238170,12009060105
239695,12115002721
246181,12071010108
238000,12071010106
236980,12011030402
271892,12083001103
242079,12099005936
278000,12083000706
242798,12101032007
251943,12127091025
245334,12057007103
245000,12011110345
262010,12086001003
237301,12086003801
233070,12086000414
275000,12039020600
268323,12071010303
264906,12101031203
263117,12097043207
235939,12011060129
270900,12061050707
229671,12033003608
256740,12043000300
239900,12015010301
266508,12011020406
228650,12086009904
228310,12111381804
254885,12081000305
262836,12099005938
257376,12057014108
230001,12086009010
249086,12069031322
261170,12115002510
226185,12057010701
226185,12031015001
257729,12011060105
225760,12086002502
260092,12057012208
225505,12057013503
390000,12086003605
223890,12033003301
229900,12057011301
69900,12073002702
238868,12097040806
263000,12069030601
222105,12103026200
274900,12057001002
254212,12105011732
241744,12127083207
222058,12071020400
253329,12009071346
253330,12099005945
219385,12083001011
254627,12091020702
254528,12069030307
182000,12083002002
217770,12086001003
253439,12095012307
250782,12031010203
226000,12086981000
229119,12086017101
224924,12001002219
218698,12053041502
246379,12015020206
215730,12075970501
239530,12057013915
247351,12115002509
169900,12009065202
165000,12057013903
213690,12125960300
213265,12001000302
176800,12009062900
247000,12019030801
220000,12071050312
236000,12099007624
329900,12093910601
214000,12115002736
245322,12086001004
210375,12057012701
209610,12057010304
216882,12086009048
208505,12033003201
208335,12095012304
240198,12035060207
237350,12091021902
226722,12119911703
237069,12017450307
207060,12001002002
221575,12057012208
226028,12011060210
204935,12091022800
249900,12086000127
199000,12053040101
204300,12009060500
202300,12099007010
235322,12127083006
214903,12105011837
227712,12071001903
233838,12097040811
229017,12105012512
240903,12127091035
204435,12053041106
225328,12127090702
339900,12127090702
199240,12015020101
199070,12051000404
194900,12023110603
198900,12051000300
198900,12011010901
228340,12031010301
290000,12099000903
228242,12083000810
220000,12071040110
285000,12083001013
218496,12105012133
226870,12071010419
229184,12111382008
222056,12095012202
197200,12069031105
210044,12031010502
228690,12069030211
275500,12086003914
223779,12071040308
195840,12031000300
213867,12019031203
207000,12071010302
195500,12099007005
222808,12019030802
227402,12031013525
194480,12017450401
243800,12095016513
193460,12083002203
218016,12001001819
194900,12131950305
196127,12086019100
192100,12103020207
192015,12103022801
200000,12086003704
222750,12009071341
191250,12065250103
163000,12133970303
217961,12083000605
217377,12091020602
188700,12053040301
219384,12111382119
202542,12081001915
